"country","year","Title","Genre"
"Argentina, Spain, United States, Brazil, Mexico, Colombia",2019,"Mi amigo Alexis","Adventure, Comedy, Drama, Family, Sport"
"Argentina, Spain, United States, Canada, Brazil, Mexico, Colombia",2007,"The Aerial","Drama, Fantasy, Sci-Fi"
"Argentina, Spain, United States, Canada, Brazil, Mexico, Colombia",2018,"Wild District","Action, Crime, Drama, Thriller"
"Argentina, Spain, United States, Canada, Mexico, Colombia",2019,"The Silence of Others","Documentary"
"Argentina, Spain, United States, Japan, Canada, Brazil, Mexico, Colombia",2018,"The Witch: Part 1 - The Subversion","Action, Mystery"
"Argentina, Spain, United States, Mexico, Colombia",2016,"Psiconautas","Comedy"
"Argentina, Sweden, France, Hungary, Romania, Spain, South Africa, Singapore, Canada, Brazil, Netherlands, Mexico, Colombia",2011,"Colombiana","Action, Drama, Thriller"
"Argentina, Thailand, Slovakia, Iceland, Switzerland, South Africa, France, South Korea, Australia, Poland, Czech Republic, Hong Kong, Sweden, Singapore, Russia, Greece, Germany, Portugal, India, Lithuania, Romania, Spain, United Kingdom, Canada, Mexico, Belgium, Hungary, Turkey, Japan, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",1986,"Vagabond","Drama, Romance"
"Argentina, Turkey, Greece, Switzerland, Romania, South Korea, Australia, France, Japan, South Africa, Netherlands, Russia, Israel, Sweden, Singapore, Poland, Hong Kong, Czech Republic, Hungary, Mexico, Italy, India, Slovakia, Lithuania, Germany, Brazil, Portugal, Iceland, United Kingdom, Spain, Belgium, Canada, Thailand, United States, Malaysia, Colombia",2018,"We Speak Dance","Documentary"
"Argentina, United Kingdom, Australia, Belgium, Sweden, France, Spain, Iceland, India, Portugal, Lithuania, Russia, South Africa, Czech Republic, Poland, Romania, Singapore, United States, Canada, Mexico, South Korea, Hong Kong, Japan, Thailand, Hungary, Turkey, Greece, Slovakia, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"We Are Young. We Are Strong.","Crime, Drama, History"
"Argentina, United Kingdom, Australia, Belgium, Sweden, Spain, France, Iceland, India, Portugal, Lithuania, Russia, South Africa, Czech Republic, Greece, Poland, Singapore, Romania, United States, Mexico, Canada, Hong Kong, Thailand, Hungary, Turkey, Slovakia, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2014,"Stereo","Crime, Thriller"
"Argentina, United Kingdom, Australia, Sweden, Belgium, France, Iceland, Singapore, Hong Kong, Mexico, Japan, Switzerland, Canada, Turkey, Brazil, Netherlands, Italy, United States, Colombia",2015,"Ip Man 3","Action, Biography, Drama, History"
"Argentina, United Kingdom, Australia, Sweden, Belgium, Netherlands, Iceland, Slovakia, Lithuania, Hungary, Czech Republic, Romania, India, Russia, Greece, South Africa, Singapore, Israel, Hong Kong, United States, Canada, Switzerland, France, Mexico, Poland, South Korea, Portugal, Germany, Spain, Brazil, Japan, Italy, Thailand, Turkey, Malaysia, Colombia",2012,"Eastsiders","Drama"
"Argentina, United Kingdom, Australia, Sweden, Belgium, Switzerland, Netherlands, France, Germany, Spain, Iceland, Portugal, Poland, Slovakia, Hungary, Czech Republic, Lithuania, Romania, India, Russia, Greece, South Africa, Hong Kong, United States, Brazil, Mexico, Singapore, South Korea, Japan, Israel, Italy, Thailand, Turkey, Malaysia, Canada, Colombia",2015,"He Never Died","Comedy, Drama, Fantasy, Horror, Thriller"
"Argentina, United Kingdom, Australia, Sweden, Switzerland, Belgium, France, Iceland, Lithuania, Slovakia, Romania, Czech Republic, Poland, Russia, South Africa, India, Singapore, Hong Kong, United States, Canada, Mexico, Germany, Japan, Thailand, Hungary, Greece, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Palm Trees in the Snow","Drama, Romance"
"Argentina, United Kingdom, Australia, Sweden, Switzerland, Belgium, France, Netherlands, Spain, Germany, Iceland, Portugal, Slovakia, Poland, Hungary, Czech Republic, Lithuania, Romania, Russia, India, Greece, South Africa, Israel, Singapore, United States, Canada, Brazil, Mexico, South Korea, Hong Kong, Japan, Italy, Thailand, Turkey, Malaysia, Colombia",2016,"Frank and Cindy","Comedy"
"Argentina, United Kingdom, Australia, Sweden, Switzerland, Belgium, France, Spain, Germany, Iceland, Portugal, India, Slovakia, Czech Republic, Lithuania, Russia, Romania, Greece, Poland, South Africa, Singapore, United States, Mexico, Canada, South Korea, Japan, Thailand, Hungary, Turkey, Hong Kong, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2016,"Glitch","Drama, Sci-Fi"
"Argentina, United Kingdom, Australia, Sweden, Switzerland, Belgium, France, Spain, Germany, Iceland, Portugal, Slovakia, Poland, Czech Republic, Lithuania, Romania, Russia, Greece, South Africa, Singapore, Hong Kong, United States, Canada, Mexico, Japan, Thailand, Hungary, Turkey, India, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Cyborg 009 VS Devilman","Action, Animation, Sci-Fi"
"Argentina, United Kingdom, Australia, Sweden, Switzerland, France, Belgium, Germany, Iceland, Lithuania, Slovakia, Czech Republic, Romania, Poland, Russia, Greece, South Africa, Singapore, Hong Kong, Canada, Mexico, Hungary, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Spy Time","Action, Adventure, Comedy, Thriller"
"Argentina, United Kingdom, Australia, Sweden, Switzerland, France, Belgium, Germany, Iceland, Portugal, Lithuania, Slovakia, Czech Republic, Romania, Poland, Russia, India, South Africa, Singapore, Mexico, South Korea, Spain, Hong Kong, Japan, Thailand, Hungary, Turkey, United States, Malaysia, Brazil, Netherlands, Italy, Israel, Canada, Colombia",2016,"Los heroes del Mal","Crime, Drama, Thriller"
"Argentina, United Kingdom, Australia, Switzerland, Belgium, France, Spain, Germany, Portugal, India, Slovakia, Lithuania, Czech Republic, Romania, Russia, Greece, Poland, South Africa, Singapore, Hong Kong, United States, Mexico, Canada, South Korea, Japan, Thailand, Hungary, Turkey, Sweden, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Summer of 92","Biography, Comedy, Drama, Sport"
"Argentina, United Kingdom, Australia, Switzerland, Netherlands, Sweden, Belgium, France, Spain, Germany, India, Iceland, Portugal, Lithuania, Russia, Czech Republic, Hungary, Slovakia, South Africa, Romania, Poland, Israel, Singapore, United States, Mexico, Canada, South Korea, Hong Kong, Japan, Italy, Thailand, Turkey",2016,"Garfunkel and Oates: Trying to be Special","Comedy"
"Argentina, United Kingdom, Australia, Switzerland, Netherlands, Sweden, Belgium, Spain, India, France, Iceland, Germany, Portugal, Lithuania, Russia, South Africa, Czech Republic, Slovakia, Greece, Romania, Poland, Singapore, Israel, United States, Canada, Mexico, Brazil, South Korea, Hong Kong, Japan, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"Pink","Drama, Thriller"
"Argentina, United Kingdom, Australia, Switzerland, Sweden, Belgium, France, Germany, Iceland, Portugal, India, Slovakia, Czech Republic, Lithuania, Russia, Greece, Romania, Poland, South Africa, Singapore, United States, Mexico, Canada, South Korea, Japan, Spain, Thailand, Hungary, Turkey, Hong Kong, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Spanish Affair 2","Comedy, Romance"
"Argentina, United Kingdom, Australia, Switzerland, Sweden, Belgium, France, Spain, Germany, Iceland, India, Portugal, Lithuania, Russia, Slovakia, Czech Republic, Hungary, South Africa, Greece, Romania, Poland, Singapore, Hong Kong, United States, Canada, Mexico, South Korea, Japan, Thailand, Turkey, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2016,"7:19","Drama, History"
"Argentina, United Kingdom, Australia, Switzerland, Sweden, Belgium, France, Spain, Germany, Iceland, India, Slovakia, Portugal, Czech Republic, Lithuania, Russia, Romania, Greece, Poland, South Africa, Singapore, Hong Kong, United States, Mexico, Canada, South Korea, Japan, Thailand, Hungary, Turkey, Malaysia, Brazil, Netherlands, Israel, Colombia, Italy",2013,"Benvenuto Presidente!","Comedy"
"Argentina, United Kingdom, Australia, Switzerland, Sweden, Belgium, France, Spain, Germany, India, Iceland, Portugal, Lithuania, Russia, Slovakia, Czech Republic, Hungary, South Africa, Romania, Poland, Hong Kong, United States, Canada, Mexico, Japan, Turkey, Greece, Brazil, Netherlands, Italy, Israel, Colombia",2016,"Ice Fantasy","Adventure, Fantasy, War"
"Argentina, United Kingdom, Australia, Switzerland, Sweden, Belgium, Spain, France, Germany, India, Iceland, Portugal, Lithuania, Russia, Slovakia, Czech Republic, South Africa, Romania, Poland, Singapore, United States, Canada, Mexico, South Korea, Hong Kong, Japan, Thailand, Hungary, Turkey, Greece, Malaysia, Brazil, Netherlands, Italy, Israel, Colombia",2016,"Udta Punjab","Action, Crime, Drama"
"Argentina, United Kingdom, Australia, Switzerland, Sweden, France, Belgium, Germany, Netherlands, Spain, Iceland, Portugal, Poland, Slovakia, Lithuania, Czech Republic, Romania, India, Greece, South Africa, Israel, Singapore, Hong Kong, United States, Canada, Brazil, Mexico, South Korea, Japan, Russia, Italy, Thailand, Hungary, Turkey, Malaysia, Colombia",2016,"Cuckoo","Comedy"
"Argentina, United Kingdom, Brazil, Australia, Sweden, Switzerland, Netherlands, Belgium, Spain, France, Germany, Iceland, Portugal, India, Slovakia, Czech Republic, Lithuania, Russia, Romania, Greece, Poland, South Africa, Israel, Singapore, Hong Kong, United States, Mexico, Canada, Japan, Italy, Thailand, Hungary, Turkey, South Korea, Malaysia, Colombia",2013,"Angry Birds","Animation, Comedy, Family"
"Argentina, United Kingdom, Canada, Hong Kong, South Africa, Mexico, United States, Japan, South Korea, Australia, Singapore, Russia, Poland, India, Lithuania, Romania, Thailand, Hungary, Spain, Czech Republic, Greece, Slovakia, Turkey, Malaysia, Brazil, Iceland, Israel, Colombia",2010,"A Man Called God","Romance"
"Argentina, United Kingdom, Canada, South Africa, Hong Kong, Mexico, United States, South Korea, Russia, Australia, Japan, Singapore, Poland, India, Lithuania, Romania, Thailand, Hungary, Spain, Czech Republic, Greece, Slovakia, Turkey, Malaysia, Brazil, Iceland, Israel, Colombia",2009,"Cain and Abel","Action, Drama, Romance"
"Argentina, United Kingdom, Lithuania, Russia, Canada, Czech Republic, Iceland, South Africa, India, Australia, Portugal, Hungary, Japan, Mexico, Belgium, Germany, Sweden, Hong Kong, Singapore, Thailand, Spain, France, Greece, Brazil, Netherlands, Israel, Italy, Poland, Turkey, United States, Colombia",2019,"Living in Bondage: Breaking Free","Drama"
"Argentina, United Kingdom, Mexico, Brazil, Colombia",2014,"Dolphin Tale 2","Drama, Family"
"Argentina, United Kingdom, Sweden, India, Lithuania, Russia, South Africa, Hungary, Romania, Poland, Singapore, United States, Mexico, Canada, South Korea, Hong Kong, Japan, Thailand, Turkey, Spain, Portugal, Czech Republic, Belgium, Greece, Slovakia, Malaysia, Brazil, Netherlands, Italy, Iceland, Israel, Colombia",2016,"Casablancas: The Man Who Loved Women","Documentary"
"Argentina, United Kingdom, Sweden, Switzerland, Belgium, France, Spain, Germany, Iceland, Portugal, Poland, Slovakia, Hungary, Czech Republic, Lithuania, Romania, Russia, India, Greece, South Africa, Singapore, United States, Mexico, South Korea, Hong Kong, Japan, Thailand, Turkey, Brazil, Netherlands, Italy, Israel, Colombia",2015,"Jeremy Scott: The Peoples Designer","Biography, Documentary"
"Argentina, United Kingdom, Switzerland, Sweden, Belgium, France, Spain, Germany, Portugal, Slovakia, Hungary, Lithuania, Czech Republic, Hong Kong, Romania, Russia, Greece, Poland, South Africa, Singapore, United States, Mexico, Canada, South Korea, Japan, Thailand, Turkey, India, Malaysia, Brazil, Netherlands, Italy, Iceland, Israel, Colombia, Australia",2015,"Holding the Man","Biography, Drama, Romance"
"Argentina, United Kingdom, United States, Mexico, Spain, Portugal, Brazil, Colombia",2016,"El Marginal","Crime, Drama, Mystery, Thriller"
"Argentina, United States, Belgium, Malaysia, Mexico, Colombia",2018,"Acts of Violence","Action, Crime"
"Argentina, United States, Brazil, Italy, Mexico, Colombia",2018,"Kickboxer: Retaliation","Action, Drama"
"Argentina, United States, Brazil, Mexico, Colombia",2001,"Angel Eyes","Drama, Romance"
"Argentina, United States, Brazil, Mexico, Colombia",2006,"Vientos de agua","Drama"
"Argentina, United States, Brazil, Mexico, Colombia",2014,"Gods Not Dead","Drama"
"Argentina, United States, Brazil, Mexico, Colombia",2015,"East Side Sushi","Drama"
"Argentina, United States, Brazil, Mexico, Colombia",2016,"Atomic Puppet","Action, Animation, Comedy, Sci-Fi"
"Argentina, United States, Brazil, Mexico, Colombia",2017,"Menashe","Drama"
"Argentina, United States, Brazil, Mexico, Colombia",2018,"Borges","Comedy"
"Argentina, United States, Brazil, Mexico, Colombia",2018,"Mexicanos de Bronce","Documentary"
"Argentina, United States, Brazil, Mexico, Colombia",2018,"Mi Obra Maestra","Comedy, Drama"
"Argentina, United States, Brazil, Mexico, Colombia",2018,"Nuestra Lucha Libre","Documentary"
"Argentina, United States, Brazil, Mexico, Colombia",2019,"John and Yoko: Above Us Only Sky","Biography, Documentary, Music"
"Argentina, United States, Brazil, Mexico, Colombia, Canada",2008,"Thomas & Friends: Marvelous Machinery: A New Arrival","Drama"
"Argentina, United States, Brazil, Mexico, Colombia, Canada",2008,"Thomas & Friends: Marvelous Machinery: World of Tomorrow","Drama"
"Argentina, United States, Canada, Brazil, Italy, Mexico, Colombia",2018,"Euphoria","Drama"
"Argentina, United States, Canada, Brazil, Italy, Mexico, Colombia",2018,"Happy as Lazzaro","Drama, Fantasy"
"Argentina, United States, Canada, Brazil, Mexico, Colombia",2008,"Thomas & Friends: Thomas and the Royal Engine","Drama"
"Argentina, United States, Canada, Spain, Brazil, Mexico, Colombia",2017,"Es por tu bien","Comedy"
"Argentina, United States, Mexico, Colombia",2005,"Rosario Tijeras","Crime, Drama, Romance"
"Argentina, United States, Mexico, Colombia",2008,"El Cartel","Action, Crime, Drama, Thriller"
"Argentina, United States, Mexico, Colombia",2010,"El Cartel 2","Action, Crime, Horror, Thriller, War"
"Argentina, United States, Mexico, Colombia",2012,"El Reemplazante","Drama"
"Argentina, United States, Mexico, Colombia",2012,"Los tiempos de Pablo Escobar","Documentary"
"Argentina, United States, Mexico, Colombia",2014,"Rica, Famosa, Latina","Drama"
"Argentina, United States, Spain, Mexico, Colombia",2019,"Retablo","Drama"
"Argentina, United States, Spain, Portugal, Canada, Brazil, Mexico, Colombia",2018,"Belmonte","Comedy, Drama"
"Argentina, United States, Spain, Portugal, Mexico, United Kingdom, Canada, Brazil, Colombia",2018,"El testigo","Documentary"
"Australia",1969,"Sesame Street","Adventure, Animation, Comedy, Family, Fantasy, Music"
"Australia",1971,"Dirty Harry","Action, Crime, Thriller"
"Australia",1976,"A Star Is Born","Drama, Music, Romance"
"Australia",1979,"The Bugs Bunny Road Runner Movie","Animation, Comedy, Family, Music, Sci-Fi"
"Australia",1981,"Clash of the Titans","Action, Adventure, Family, Fantasy"
"Australia",1983,"Sudden Impact","Action, Crime, Thriller"
"Australia",1986,"The Color Purple","Drama"
"Australia",1988,"Brand New Day","Documentary, Music"
"Australia",1988,"Daffy Ducks Quackbusters","Animation, Comedy, Family, Horror"
"Australia",1988,"The Dead Pool","Action, Crime, Mystery, Thriller"
"Australia",1991,"Rover Dangerfield","Animation, Comedy, Family"
"Australia",1992,"Passenger 57","Action, Crime, Thriller"
"Australia",1993,"Batman: Mask of the Phantasm","Action, Animation, Crime, Drama, Mystery, Romance, Thriller"
"Australia",1994,"On Deadly Ground","Action, Adventure, Thriller"
"Australia",1994,"The Specialist","Action, Drama, Thriller"
"Australia",1994,"Wyatt Earp","Adventure, Biography, Crime, Drama, Western"
"Australia",1995,"Now and Then","Comedy, Drama, Romance"
"Australia",1998,"Quest for Camelot","Adventure, Animation, Comedy, Drama, Family, Fantasy, Musical"
"Australia",1999,"The Astronauts Wife","Drama, Sci-Fi, Thriller"
"Australia",2000,"Bait","Action, Comedy, Crime, Thriller"
"Australia",2001,"15 Minutes","Action, Crime, Drama, Thriller"
"Australia",2001,"Bob the Builder","Animation, Family"
"Australia",2001,"Osmosis Jones","Action, Adventure, Animation, Comedy, Crime, Family, Fantasy, Sci-Fi"
"Australia",2001,"Rock Star","Drama, Music"
"Australia",2002,"All About the Benjamins","Action, Comedy, Crime, Thriller"
"Australia",2002,"Beneath Clouds","Drama, Romance"
"Australia",2002,"Crackerjack","Comedy, Sport"
"Australia",2003,"Fat Pizza","Action, Adventure, Comedy, Crime, Thriller"
